,Clean_Text,label
21194,body tom novy voodoo child rogue traders  good memories songs,1
6975,ohoh missed ur tweets im gonna stay awake night announcement damn time difference,2
26372,second biology time time haha,1
24424,goes n smirker cheers dave aka jak aka best chest httpblipfmjjcc,1
35591,quotmom set bar high need learn fly reach itquot thats awesome sentiment read mothers day,1
39789,headache gonethank godtime tea think,1
26818,great weekend johnback work  days going illinois thurs amp fri gigs john,1
33645,new song cobra starship amazing,2
38858,support trust honor moms support matternal health happy moms day httpbitlybpekk,1
37463,workgettin paid sit arse guests mum comin eexcited,1
35278,best lazyreally productive day options lay ahead job prioritize thank u universe luv dd,1
21913,yup gets better s,1
36639,morning beautiful glorious sunshine wash vacum car fill petrol bbq stuff buy,1
25530,appreciate,1
32976,awesome,2
24559,figured ended taking cousin work rain hit,1
27544,hi godd day eweryone im reel good mood day,2
27641,photo album im good person private pity ben haha,1
20113,finally cup coffee,1
12828,guess suprised,2
17423,sauce huh im going california tomorrow morning,2
31686,eating ice cream cake bomb,2
34537,forgot twitter account happy mothers day,2
10306,password san diego working,2
30161,likelyy need save money practice ass,2
1275,exactly alcohol easy obtain takes little time damage immediate drunk driving alcohol poisoning long term alcoholism marijuana helps w anxiety depression nausea pain seizures etc world backwards,0
3954,good morning sunshine sleepytown sleepy,1
22261,im thank praying  ahahaha im watching britney record school today good day,1
7650,ah gdit ranger game afternoon,1
23958,gonna head shower going friends birthday party ,1
35254,drunkfda twittering lone favorite hobbieslt drunk professionnnnn,1
31153,rocky kind little rockpools amp octopi amp shells amp stuff want beach perfect overcast day,1
35956,tea blog post awake good morning,2
37781,seen game website awesomness msn,1
36854,httptwitpiccomvvr cool mother awesome hair styles wish happy mothers day,1
540,angry time sign depression checked httpstwittercomspicolirebootedstatus ,0
25367,finished work  midday kiddie dinner getup amp ah bank holiday fb,2
29897,ty ff,2
21081,hehehehe oh love purate english sooo,1
36765,dinner grandma couldnt mum,2
20238,glad like,1
20995,watched liked,1
18323,im tripple thick chocolate milkshake mcdonalds feel sick,1
12976,quotthe things purple prose gives awayquot hell supposed mean casino music goes die,2
26493,kyle codys wee bro,2
17629,times week turn tv find comedy central endure brief moment scrubs,1
32139,glad like,1
8290, cambie slightly event leave waiting feedback ill u posted,1
15011,son thats nice know good dh late today,1
28890,nothinbg home jump shower streets calling meeeeeeee  tonight tell,1
1646,sympathy demons trying cure depression focus getting curropt leaders arrested innocent girl wtf benefit serves jail time,0
24917,yoga school better,1
30086,hahaha yes discussions jump randomly,1
31262,margaritas momo ive missed,1
31173,pinkberry,1
32355,great night friends,1
17402,omg  haha half hour late  work whoops hahaha h workin sat mornins,1
32112,lilash im guessing right oh camera insane quality,2
93,im tired pretending okay deep im crumbling weight depression,0
35142,oh yum rhubarb links fab thanks,1
33564,im incredibly happy person  energy love dance amp laughthe thing knowim earth ppl,1
37024,final count bigger hair people httpblipfmzuq,2
2669,job centre bound oh yay,1
101,im tired wearing smile doesnt reach eyes pretending okay far,0
223,set event birthday man facebook main trigger depression trying stay positive cutting social media big,0
32580,cool youre figuretweeter club,1
28121,right heredont worry,2
21915,oh wow youre fast hows life going  months ya xd,2
556,evidence clear people active lesser risk developing depression httpsmmedicalxpresscomnewsengagingphysicaldecreasespeoplechancehtml ,0
31101,fun,1
30325,wanted going end ,1
13158,reception food long beach graduation  champagne httptwitpiccomeba,1
20563,headed wmc day hopefully ill time swing chinatown way home im mood duck,1
35020,thanks message fan forever actually met  glad stumbled twitter,1
38972,lan poker fun help remember ki compre chal raha hai abhi,1
19071,beautiful stay inside,1
22520,haha check site got good ones,1
22715,mount dishes conquered dish land,2
1543,aaaaaaaand square depression sucks,0
32847,happy motherss dayyyy sister decided lunchhmph decorated house andd danced sang hahaa,1
10997,time,2
29002,watch time lets pens,1
22985,muhahahaaaa maybe jesse,1
559,fucking scared prove depression thoughts knew scared didnt shit,0
2248,ps keeps logging youtube depression hacked brain cant possibly let yugioh mmds play long,0
17314,online,2
31468,sweet deal want movie methinks star trek movie night time hmm,1
27003,new tmobile advert trafalger square looks like lot fun load pigeons,1
24499,sore legs good time epson salt works good usually dm need help,1
21222,oh yeaah bffs aha,1
1091,tried regular conversations depression hes open hes moody im terrible friend eventually wretched terrible took decided,0
27184,new week  new legend,1
26903,great job,1
27037,thanks trying hoping bud trillin fest honored guests hobnobbed,1
233,took math test today day test teacher says bring calculator luke confident teacher decided calcs,1
16398,watching film recovering operation,2
34260,hahaha yay emily cool,1
12810,spoilt shes like   hard m people shes young,2
28500,dont know pretty,2
32047,baitersss hope tonight fun,1
20710,perfect,1
15874,hilaaaaarious love vernae,1
26112,mission wales find worlds greatest welsh cake success better nans,1
1760,going allow depression life mental health going downhill im going let,0
39801,taped school look pretty retro theme song recognisable,2
39141,methinks time read dolls house  streetcar quotes physics,2
21407,soso thanks ive uploaded new campaign vid post link mins babe,1
12686,omds holly steel bless x,1
20873,finally leaving place woohoo school time,1
239,worst thing depression youll feel regardless,0
1740,quotmight interestedquot thanks was came saw winced like flatland httpbitlyfy,1
25392,whoa steady mate dont fall,1
24915,sitting audi joburg fashion week casting lanky people place  lol good luck xx,1
11498,hit christian head metal bat haha socked eye haha miss reckless little kid,2
22166,oh great hope youll blast ,1
21813,bom dia good morning guten morgen returning twitter,1
11389,ran hair spiderweb baby spidersi set hair fire rid,2
39746,sunday morning realised im film snob said msn entertainment,1
36120,thanks,1
26509,love song happy monday,1
5723,want play,2
1493,anxietydepression dealing guests work come sorts different personalities exhausting days breakdown second,0
6831,liptons sparkling green tea gross,1
20668,haha wear blue  heey ur watching jonas hahaha  havent watched ep hope shows soonp,1
26157,thank,1
16046,quoticant live cant livequot lmao oh btw oooowwwch foot hurry plaster im going bleed death,2
10685,want dance havent listened song left makes miss,2
32789,oooh neat yes sf good food jealous sf people,1
37029,aaauuuggghhh n check mcdonalds check haha hot cheetos,1
32626,got home states honors choir  hour drive payed amazinggggg,1
23253,im soooo intrigued want try weekend kaya lang baka maaddict ako,2
34881,traveling makes meet new peoplenew circle strangers friends,1
34834,snl hosted justin timberlake startssssssssssss woohoo,1
25620,banks thing rolling hooray days,1
3467,omg julys day  muchachomalo,2
25122,amazing best time hope good weekend,1
35132,like youre enjoying hell,1
21206,im excited try guys,1
20729,bit motorcycle trip today,1
20022,,1
38871,httptwitpiccomwta pretty damn good friday night,1
6503,licking chocolate crumbs twirl wrapper like zammo smack,1
25671,trying work use twitter,2
20920,chaof anh chaof cacs chij cacs mowj cacs thimsdihoj hangf thaan thik gaanf xa thoong gia cuoois phoosmhic gio moi nhan ra ko co vk,2
34934,im going town dinner rolls dark chocolate yummmm,2
9737,yes,1
32482,fireworks  kboom concert second best ive seenpreceded years  ltsighgt,1
31726,watched yes man bahaha movie messed,1
36852,ok yall time room amp cuddle wit sasha lol yall later alligators happy mothers day da moms amp moms ,1
26658,haha yay love mr shane dawson,1
15888,omg s comment bday joe herebut turn omglol,2
65,world feels heavy overwhelming struggle bed day,0
28435,im good morningbrunchish took exam think good,1
21535,trying save money ipod touch,2
885,im trying self learn photoshop going,2
16317,lol yeah unfollowed bkuz jokein bwt somethn n quess took,2
697,need know spotting signs depression young people work bring close contact teens  common symptoms watch httpshubslyhbqxh communitymentalhealth mentalhealthtraining mentalhealtheducation,0
24533,good morning,1
11249,buchers class cried,2
22156,need quicker nerd streetcred haha,1
12380,oh nice im jealous dont know going gone,2
1234,wages aka conciquences sin death hell rom  furhermore dont consider sucide sin at context stuff like depression tragic effect illness,0
7390,im couple bus stops away lc didnt realize month ago,2
30987,gift published episode  align realign sensitivity level   min yoga class httpbitlyqagh,1
39236,pakistan httpbkitecomkbp,1
39143,awww love charlies enjoying lucky food lol,1
13387,late late pat kenny bless,1
33628,close trying yummy,1
32491,held japanese people making origami animals darcy great time amazing place,1
10139,im cubs game cold think going rain,1
174,okay trying tell depression mental illness told mouth depressed suffers mental illness think reading deep initial tweets,0
8848,car home yay  boo im paying mom installments gave  today need win lottery ,1
21762,mmmm honey mustard chicken w rice amp veges,1
327,girlfriend apologizes lot things like hanging homework shit list tell doesnt apologize apologizes depression pills taking away sex drive tell doesnt,0
13217,youre going awww,2
2275,remember time depression bad,0
983,fucking cold north like  df yesterday ,2
20328,supernatural tonight,1
26896,ill quotgroovy guysquot time shortie short photofollows,1
38342,oooh goodluck rest,2
36347,selenas mom congratulations nice day,1
35448,working station cool love yer music kk sweating lol la xxx,1
21533,finished recording improvisation second instrument latest podcast happy nearly mixing time,1
23,invisible chains depression hold captive making difficult imagine life constant struggle,0
13959,fail cant tweet phone oh love work phone,2
38719,time revision listening albums nonstop day,1
22630,proud cg took  yrs making number  spot gnight twitter bugstime read sleep,1
34950,coola productive day got spot extra feature film filming tomorrow awesome week,1
32392,watching snl awhh chris pine cutieee,1
23658,heard dad going september come,2
11816,everyones allergic poison ivy know guys l cant change soi guess,2
36860,old o,2
11903,learned people greedy comes freebiesi left toys freecyclers person tried,2
19960,playin city villains wishin buddies playin,2
4913,devil ive waiting black widow movies wont awesome,2
20956,officially celebrating th tweet wow proud great,1
26025,drink  pm leaving shops medium light coffee frappuccino nom nom nom,1
8373,btw record waaay clothes packing found green boa amp quot velvet black corset,2
28855,scratch watching marley thinking stay awake better,1
31331,okay new jonas episode awesome,1
33974,awesome im ocean beach if know is way quotyourbiggestfanquot im real big fan,2
3651,commercial shoot tokyo time play quick dirty,1
3507,hmm idk song,1
24882,happy bday sharon,1
37695,enjoy congrats thanks recipe tomorrow morning,1
31584,sounds awesome,1
34591,officially mother day happy mother day moms,1
28837,family herehanging,1
6197,,2
4926,want cash cash,1
20803,bit soul time  mama visialize living environent speak soon,1
23587,excited double bio today dont straightener hair looks horrendous moment wtf supposed,2
26166,humous doritos oh yes,1
14559,oh god cheesy disco music started getting tables need wine,1
31487,omg folding laundry matched socks perfect pair good laundry folding day,1
14573,catacombs ffrom cinemas tried local little ago theyh didnt,2
32038,took dog offleash park today overheated ran laid mud puddle splashed amusing,1
23211,th today round weekend session happy th yall fintster,1
22956,great new directory babysitterdirectory coming soon directory twist revealed week,2
31016,haha korn funny ugh drink  beers im going fat ,2
1336,hate belief anxiety depression push people create better content obvi stuff going reflect feelings expiriences mental demons doubt little detail work support homies ,0
33271,aww happy mothers day girlie kingston lucky great mommy,1
22497,teddy chucking time,1
24528,ive heard basment jaxxs new song quotraindropsquotthats fantastic makes dancing cant wait fuji rock festival,1
16198,wish sluttin w waaaaaaaaahhhh,2
23503,oh god oh god oh god new supernatural starts tonight new sam dean oh god cant breathe lt lt,2
22330,attics eden today,1
132,invisible wounds depression run deep leaving scars fully heal,0
25421, thinking good luck lynny tattoo ,1
22681,adventure ive nicer parts norf london stick south today,1
31594,gorgeous day worked master gardener plant sale trimmed smoke bushes writing,2
32615,httptwitpiccomwgoi bus boys poets ordering medici white chocolate banana bread pudding,1
20785,chillin christina diana,1
23535,heading baguio hours,1
29192,sulumits retsambew thinking billion billion pretty soon adds real money,1
1431,probably wont talk ill listen help thats whats gonna depression away,0
1568,fact theyre promoting depression gone room run dead body,0
20266,excited lots good things happening workwise melbourne,1
33946,thats sweet,1
3076,darn realised quotpull onequot far better response suggestion,2
24987,de wereld need ppl like ,1
30028,whats hot new,2
33843,haha thats awesome good job,1
20701,rice crispies morning brings good memories,1
36869,thanks remember sae stuff,1
28518,awww glad know little sweet leigh goodthanks updates howie,1
23801,shocking isnt hmm stop,2
6778,guy called adhd kid earlier today hurts,2
34922,yes wanna come hang htown gurl u know whats haha itll bangin gotta hang chick,1
31615,moooooorning httpplurkcompsudg,1
8125,cant believe im spending lunch break inside  desk,2
33627,im sure u cant w  morrows shw happy mommys day ,1
37707,good morning hope al lovely sunday and hope doesnt rain tomorrow ,1
2240,ok ahhh chance school chemistry exam,2
37,darkness inside swallows glimpse happiness leaving perpetual state sorrow,0
30521,favourite song tonight cheer tokyo police club,2
25877,woah thats cool landed london  and hours agoi love scenery beautiful,1
34725,yay snl,1
36615, bedcant wait  party  mothers day like  hours,1
25873,cool saw link thanks,1
28111,realized  followers hey guys,2
6886,damn got right suppose took long reply lol,2
15914,perfect enjoy,1
20599,lol brandy mr whiskers,1
12800,mallorca want play guitar come home im going buy mcfly dvd ,1
16819,toy story  june  cant wait long,1
95,world feels like cold desolate place sunshine fails penetrate darkness,0
23746,wow early best conversation,1
33706,fuckkk need sleepppppppp lol happy mothers day mummy,1
24960,school classs day  days,1
26849,rise shine time prettifide,2
31090,got good happy mothers day,1
1349,do encourage individuals discuss emotions past experiences mentalhealth adhd stress depression ptsd selfesteem familyconflicts counseling bipolar therapy retweet followus decatur atlanta georgia,0
8327,got doctor dont need surgery yayyy knees fucked gonna better,1
36397,super excited bought tix hey monday  svetlana j denverco,1
27085,aeroplanes know plato favorite wkp songs httpblipfmjq,1
2283,depression disappear shit haunts daily dreams nice materialize fear sad emotions rule mind sorry vent know im loser hey things change hope pray happen foe,0
8298,going tonight finally wanty lie park cinema bound looks,1
27558,im sure mayor brainard thrilled hear youre fan,1
35606,thanks,1
13662,okay im ideas,2
1296,cross line youre sick people faking anxiety ocd depressionsuicidal thoughts actions attention,0
276,depression strikesit hits like fucking freight train making sure left standing,0
14956, weeks got  different pairs strighters thinking wasnt working realised lowest setting,2
663,resident opening secret battle depressionand wants same httpbitlyhjowyl,0
27803,,2
6201,wow havent gotten,2
28349,yes read times,2
13771,gaaaaaaasp didnt know final sad ive reading books years,2
32859,love mom tooo,2
19611,let know soon figure sorry mix supposed work hour ago,2
27261,musicmonday offering httptinyurlcomdgad tony christie feat seeing walk like panther,2
8778,httptinyurlcomrywap hi pretty man cant upload pics reason wrote wish find women,2
30548,twitter sooo im pretty damn cool,1
28030,school school school today like going great day,1
35832,man finishing quotoperation anchoragequot sure gives unfair advantage lootwise love stealth field suit gauss rifle,1
26047,ordered new shirt,1
4980,night fun w lightening thunder today s,1
28102,new twitter,2
38122,stuck f weather today stay watch,2
3754,hair cut looks like shit,2
15894,mo cover girls hubby fb chat seen  months,2
32255,hey beautiful whats,1
27121,noo good guys better x,1
28140,hitting fairly empty shops orlando downtown disney later httptinyurlcomcdsuws,1
22722,morning twitfriends welcome new followers,1
28992,cant feeling away melt going lay amp watch movie,1
157,im tired constant emptiness engulfs theres void filled,0
23813,woo follow,1
30857,shocked amp puts things new empowering light doesnt,2
259,aw u cant let secret,2
22958,okayyy read cause ill feel special haha,1
39289,found im robot,2
7787,wants summer actually sun,2
31807,thank neitherrrr,1
38107,morning sweetie cool xxx,2
34862,gratitude nice small quotthanksquot goes long way  twitip,1
30821,nice twitter,1
34697,like httptinyurlcomcmhr reminds little favor hfw,1
2221,dont think trauma like  gna better help mom depression obviously dad fucking trash,0
26825,excited apartment little,2
32399,happy mothers day,2
223,completing facebook quizzes time morning especially friday morning,2
30723,thats wish video compilation thrusting,1
9040,suchatease,1
29789,feels accomplished got lot today httpplurkcompstns,1
25651,saw fiddler topol girls looooved month annie th row cant wait trip  music store fiddler sheet music,1
39292,worries good news good spread,1
1397,gets like currently forced therapy depression illness sick depressing doctors treat grief like intrustive thought medicated away,0
18201,internet access board means bad weather flying httpbitlyhtw,1
18202,sister ripped heart outta myy fukkn chest im super hurt right shes needed life,2
21479,morning kik enjoy breakfast,1
13951,time good bye twimulations ill miss tweeps,2
31341,awww wish younger sis  older bet younger sis loves u,2
21962,heyy ur bdayhappy birthday,2
33096,lovely attempt poetry,1
32268,craving king sized snickers,1
2053,dude didnt bye,2
28231,ill listening,1
21710,good morning rob great day,1
8931,httptinyurlcomnakq lt cute currently ymas pumping blast dont know revise comms,2
35846,sure course ill pray thank jo send warm regards ur mom httpbitlybeih,2
19225,finally plugged listen flashpoints httpwwwkpfaorg shoutout missed segment chevron,1
711,fear bad days depression recovery httpbitlybmhyf pictwittercomamxoeebne,0
39171,hahahahayeah mess crossing kneeling bit called outjoking,1
6280,straighening hair going straight want bummerrr,1
21017,second episode sonny wac new zealand tonight and are amazing ily xx,1
34709,phone keeps beeping thanks alan speeeeeen,1
9418,ah haha omg fudge grahmcracker cookies boo,2
10554,doesntsheesh,2
9213,yay playdate vans transmission dead,2
2044,know mean difficult time staying positive feel like depression taken life feel like depression prevents staying positive httpstwittercomnarnarbabystatus ,0
13414,thanks hun im wearing new goldmine es big false lashes doesnt,1
34297,nice song come,1
11506,aarg looks like home vegas weekend maker faire,1
30124,tagaytay family happy mums day hot mommas,1
25279,dont worried im safe sound lt,1
28268,shopping,1
13479,killed pigeon today thought going way car thing know bang feathers rear view mirror rip,2
38028,vampire knight music feel special,1
36577,allo twitter today,1
14503,oooh spoiled teenage fantasy,1
21910,ah brilliant thanks bunch,1
39660,im hearing lots good things new trek movie ill dad quota fellow trekyquot like,1
37914,good morning ate pizza breakfast,1
27279,long watch im happy,1
308,spilled beer leg wasted half beer home met cute girl good conversation,1
24252,favourite tv kid bananas pyjamas teletubbies lol luckyy youuuu going jb concert haha,1
20146,visteon belfast  years salary paid shows happens stand,1
32618,love job getting real sleep icing birthday cake morning,1
20410,earth dont walk water im horny nerd trying find way life lol,1
15278,doggone got hour nap want ponderosa chicken wings,2
21367,eagerly anticipating twitpics,1
32401,thank,1
34493,yay friend glen im like,1
37917,love waking thinking weekday realizing weekend,1
8751,congratulations wish happen,1
7734,cheers wish fonts play,1
28721,awesome im glad like fyi platinum notes  free upgrade summer,1
31275,glad im finally finals,2
35314,haha ill mind far reckon money stop hair greying retire,1
23340,shower annas,2
36576,suhweet perfect timing,2
17333,finally watched couple episodes office nbc  theofficenbc  understand gervais stopped  seasons,2
24162,hey know trailers hannah montana jonas brothers d concert experience trailer x,2
30195,read lucky getting new phone,2
29528,cute time twitpic ,1
26102,maybe cell phone soon yeah,1
6974,damn wish going found late wranglers kids miss mountainjam year,2
27592,lmaoummmm,1
3151,httptwitpiccomg marshmellows  muffins  fail bubbled evaporated leaving big holes heh taste alri,2
21975,xd send,1
5495,wales st  weeks away wales idk guys school like,1
15233,wtf wtf wtf dont share videos time man,2
5318,didnt,2
29297,shoot ron torey lots fun,1
28668,yay lucky whatd,1
21946,watching jonas nicks beautiful voice sleep,1
22732,thanks stephmust updated ur turn,1
22398,ready milan yall evening,1
38562,hmmm neeeddd foooddd nd looking forward  playing puppy  day nd seeing lewishhh,2
36810,maybe shes funny like jester,1
17816,couple days sheeeeit wish cafe claude,2
8240,thats im getting new phone phone dont work,2
22898,net net net hmm bad weather weird summer,2
20798,especially pink ones lol beautiful creatures,1
12538,bc overcast gets sunny yes,1
26634,lol point laugh,1
34600,cant contain tooooooo excited,1
34738,finally learned think speaks works wonders,1
1547,headache night morphed hangover time drive motorway wolverhampton why oh why,2
36867,ill new laptop  days excited dell inspiron coreduo ghz gb ddr gb hdd  inches screen,1
4786,oh man sold step away desk  min right,2
35504,amazing night drive,2
26762,thanks shoutout,1
32333,haha cute ps thanks reply day haha,1
32253,ur going  tired hearing saw preview ur movie year funny yeah,2
31271,ive case yeah start work tomorrow excited,1
37279,supporting superfly way,1
39239,im going bed lol enjoy time gym ill sleeping,1
34285,iced coffee vanilla ice cream uber sick mix,1
31040,dude awesome,1
31111,google goes pink today,2
30528,fun tonight,1
36516,celebrated mothers day best lamb roast lunch followed box cadburys shared table wonderful day,1
35745,relaxing thank hope feet tomorrow enjoy day,1
24690,bahaha bof youve gotta life cant obsession miley cyrus ive gotta life,2
12152,gutted wasnt lmao think im obsessed bahaha,1
24313,good mornin jason ready fresh new week,1
923,charcters fight dangerous villain destroy world end itmy character fites depression cupid,0
6021,samee aint man girl obv nd  lol aint no special famous rich wish tho xx,2
25107,cant help look twitter page drool custom bg httptwittercomgalvao,1
203,adam eve reversal fakeout pump anger depression,0
24858,hello paul nice hear listening interesting thoughts kaashoek unisys patel doculabs,1
29166,fun time allegra tonite saw again good movie,1
20349,wants honorary filipino ill follow  thanks,1
26866,thanks im glad liked flower diamonds,1
22864,yeah know things easier way im bored boys playing tekenen i cant spell it,1
34491,got gym wanna chat new people lets talk haha,1
5791,im going dads tonight hes got  foot pool tell hes got things im going twat,2
29263,interesting night defiance hey got guys dolls free,1
33,depression steals appetite leaving void nourishment,0
18811,got damn stranger lol,2
39766,httptwitpiccomwukt bought ludi rug dogs best,1
39219,happy mothers day fellow mums great day spent garden family,1
24962,im costco bit print photos photobook,1
34645,happy mothers day mum,1
38728,singing mychem,1
36069,excellent movie,1
28784,amazing,2
27375,dont follow dreams chase richard dumb who think smart,1
30409,cashier work today woot woot drink,1
30865,great party alenka happy birthday chicky lt,2
61,im constantly battling negative thoughts tell im good worthy love happiness,0
21982,relaxing fragrances soo latest loves lavender amp chamomilethe basic ones trying find flower scents,1
16405,headed friends new baby gave trip lake cause dance class good mama,1
38797,happy mothers day yummy mummies twitter,1
2175,power sudden depression sawed boat half,0
27891,subway im going subway love ate new zealand,1
654,im genuinely annoyed like personally deal suicidal thoughts depression fact fake attention im deeply disgusted,0
32995,cool thank luv,1
33701,thanx bday wishes ray,1
31768,httptwitpiccomwdui shes festive aint hehe,1
32341,awww wish brew b,2
21023,morning prayer meeting amazing gift prayer im completely buzzing morning christ hope found,1
21640,actually great start day hope continues getting new american oversized bed evening,1
531,got home work   finished cleaning need eat dinner dont know want ughoh eat,2
13798,spanish mass sunday write couple papers boo,2
21861,haha told important,1
36135,haha thats great yeah zachary quinto spock awesome,1
18375,cant wait shot,1
26041,got rad new tshirt aunt cool shiny shiny pink material,1
8527,bwaha far away looks fluffy jareds hairs shinnny,1
23130,came bishopstorford went aunts wedding party way fun got cousins  years,1
1080,cause changed man,2
38221,appreciated yeah sure challenge great reward wouldnt trade,1
29618,finished classes time start summer project hint involves wordpress install ive tweeting lately,2
22798,cute going daddy,2
38285,way photos park,1
1563,guys listen todownload original soundtrack album bateman lectures depression right bandcamp little depressing indiefilm indiefilmmaker httpsscottbatemanbandcampcomalbumthebatemanlecturesondepressionoriginalsoundtrack  pictwittercomqenmbbqpa,0
28705,yo got blur tickets yesterday im going st day whatbouts u,2
37859,yeah guess sound bit odd cause hes saying quickly,2
79,im tired wearing smile doesnt reach eyes pretending okay far,0
4876, im lunch break,2
5996,took cutest pics andy yesterday dont bros fancy dslr amp didnt time upload want,2
26630,know cowboy hat pic smile today you dont japan,1
6774,slept  hours straight tired better getting sick,2
39349,heartwarming ill looking forward day,1
15937,sunburn fun remember,2
260,im sorry dont think stick compared look like,2
37314,wonderful mommy world,1
3289,nice dayand working,1
32004,look background thats want future date like well him,1
2389,quotbless youquot sneezing cat,2
22647,photo got prints days ago ready norskart exhibition httptumblrcomxhtphgl,1
2969,lovliest night night ruined doctors inability warn effects tests,1
37115,haha yeah,1
149,day feels like battle survival navigate depths mind,0
22003,happiest place earth jadore,2
26803,good morning sunshines,1
3203,cant believe went got boba,2
27903, books complaints  plus im book voucher,2
169,depression paints distorted picture reality making difficult trust thoughts perceptions,0
28597,omg brings high school days httpblipfmygpg,1
37142,didnt realize young advanced happy birthday stefan mtfbwy,2
25719,gonna beautiful day,1
39267,glad wore black rats flowy shirt im dozen mixed oystsers seafood platter death chocolate,2
3012,staring sunshine office window,1
1929,wish ppl talk depression accurately media like point awareness u spread false crap,0
8192,got concert mistakes kinda failed macedonian test relatives serbia woohoo,1
35978,listening house musicwhat else got gig san francisco friday details wwwmyspacecomdjspy,1
37253,new followers pretty cool tweeps check em,1
24225,sefton park liverpool good m road,2
11475,ive knack iphone got melted chocolate speaker cant hear rings,1
29964,woo hoo party gonna fun,1
18803,need bear hug im going camp today,1
38053,somebody smuggle sydney ill slave eternity,1
24391,way hours realale takes,1
1452,im bored trying stave depression making u u like,0
9742,hd httpplurkcompxeb,2
37814,cup tea cold tasting good,1
27889,day httptinyurlcomcumqmv,1
26423,yummy im eating bagels,1
9428,damn hot weather freezing oz moment miss summer,2
29995,great date nighttried find cdcaves daniel hilariously fun,1
29365,hehe,1
35836,happy mothers day httpbitlyijm my friends video,1
37336,youve got standards alice got enjoy life life,1
30471,coool weekend wasnt great eeeh whattttever friday better expected httptumblrcomxiqwu,1
5521,lucky guess means chillin concert huh,1
27867,yeah,1
22469,seriously increasingly good nights stoked life couldnt happier goodnight,1
28901,fan certainly attractive like pink canucks,2
36821,heheuntil comes fb friends twitter respite huh jk,1
38823,didnt going facebook  months ago,2
30338,cute,1
19132,schmoo moving sad,2
3671,oh hrmmm case idea realised youre talking bike solly,2
22913,watched  sooo good,1
22903,happy star wars day,1
6964,mean post concert blues  lol soooo know mean,1
1582,sorry understanding depression intthe slightest,0
24562,happy star wars day,1
37921,ever shes man aswell love want gossip girl decided summer  spending lots,1
3566,nope sweatshirt oh awesome doughnuts haha,2
28878,sir amazed woke morning,2
32203,soo happy thank baby best  days life,1
38247,heya  hour famine starts nd gonna,1
4567,found couple weeks ago spazzed pulled life normal lol,2
37773,seen game website awesomness msn,1
36503,find john mayers tweets mighty entertaining hearty laughso thanks john,1
33886,happy mothers day moms,1
29573,mothers daylove madre chels tonight cant wait present,2
38602,happy mothers day,1
31828,sure let moms know fabulous think mothers day,1
38549,yeay haha thank jiah,1
32674,noticed yesterday tooim actually happy startrek,1
33137,awesome feels fulfilling doesnt im gonna work soooo people summer totally excited,1
31803,thank followfriday hun,2
